,Rotation,P,Mx,My,NeutralAxis,ResistanceFactor,P_factored,Mx_factored,My_factored
0,0,216.0,0.0,1.7053025658242404e-13,0.01,0.9,194.4,0.0,1.5347723092418165e-13
1,0,216.0,0.0,1.7053025658242404e-13,0.19333484067767034,0.9,194.4,0.0,1.5347723092418165e-13
2,0,216.0,0.0,1.7053025658242404e-13,0.3766696813553407,0.9,194.4,0.0,1.5347723092418165e-13
3,0,170.1,533.5875000000001,1.1368683772161603e-13,0.560004522033011,0.9,153.09,480.2287500000001,1.0231815394945443e-13
4,0,156.50000000000006,690.7430555555551,1.1368683772161603e-13,0.7433393627106814,0.9,140.85000000000005,621.6687499999996,1.0231815394945443e-13
5,0,145.38714698336958,807.4280122301749,1.1368683772161603e-13,0.9266742033883517,0.9,130.84843228503263,726.6852110071574,1.0231815394945443e-13
6,0,103.51989738349238,1247.0341330288857,8.526512829121202e-14,1.110009044066022,0.9,93.16790764514315,1122.3307197259971,7.673861546209083e-14
7,0,73.5222296103029,1562.009644647375,5.684341886080802e-14,1.2933438847436924,0.9,66.17000664927261,1405.8086801826375,5.1159076974727215e-14
8,0,50.9731930758822,1798.7745282587923,2.842170943040401e-14,1.4766787254213627,0.9,45.87587376829398,1618.8970754329132,2.5579538487363607e-14
9,0,-3.3151323307519505,2386.0144450284515,4.547473508864641e-13,1.660013566099033,0.9,-2.9836190976767556,2147.4130005256065,4.092726157978177e-13
10,0,-3.3151323307519505,2386.0144450284515,4.547473508864641e-13,1.660013566099033,0.9,-2.9836190976767556,2147.4130005256065,4.092726157978177e-13
11,0,-132.4819033705815,3721.104082613328,2.8421709430404007e-13,2.9551594510449455,0.9,-119.23371303352336,3348.993674351995,2.5579538487363607e-13
12,0,-237.45338232646333,4721.286903316754,1.4210854715202004e-13,4.250305335990857,0.9,-213.708044093817,4249.158212985079,1.2789769243681803e-13
13,0,-311.27,5345.220763888889,8.526512829121202e-14,5.54545122093677,0.9,-280.143,4810.6986875,7.673861546209083e-14
14,0,-378.4200000000001,5840.210000000001,2.842170943040401e-14,6.840597105882682,0.9,-340.5780000000001,5256.189000000001,2.5579538487363607e-14
15,0,-445.56999999999994,6276.254097222223,5.684341886080802e-14,8.135742990828595,0.9,-401.013,5648.628687500001,5.1159076974727215e-14
16,0,-512.7199999999998,6653.353055555554,2.842170943040401e-14,9.430888875774507,0.8544183096163682,-438.07735570650414,5684.746671008676,2.4284028927933384e-14
17,0,-579.8699999999999,6971.506874999996,-2.842170943040401e-14,10.72603476072042,0.8112066805398546,-470.3944178446454,5655.332950429522,-2.3055880562306315e-14
18,0,-700.5699999999988,7394.71243055555,-3.126388037344441e-13,12.021180645666332,0.7773061774217436,-544.5573887163499,5747.955652528185,-2.4301607344452746e-13
19,0,-767.7199999999984,7548.119722222215,-4.831690603168681e-13,13.316326530612244,0.75,-575.7899999999988,5661.089791666662,-3.623767952376511e-13
20,0,-767.7199999999984,7548.119722222215,-4.831690603168681e-13,13.316326530612244,0.75,-575.7899999999988,5661.089791666662,-3.623767952376511e-13
21,0,-853.7027402135217,7444.838102757998,-5.968558980384842e-13,14.33673469387755,0.65,-554.9067811387891,4839.144766792699,-3.879563337250147e-13
22,0,-883.6327906976727,7285.461461563298,-6.821210263296962e-13,15.357142857142856,0.65,-574.3613139534873,4735.549950016144,-4.4337866711430256e-13
23,0,-965.0779439252325,7158.790477673929,-7.389644451905042e-13,16.377551020408163,0.65,-627.3006635514012,4653.213810488054,-4.803268893738278e-13
24,0,-1044.8462463343103,6990.7812884897285,-1.0373923942097463e-12,17.397959183673468,0.65,-679.1500601173017,4544.007837518324,-6.743050562363351e-13
25,0,-1123.2163988919667,6778.507533856564,-2.7000623958883807e-13,18.418367346938773,0.65,-730.0906592797784,4406.029897006767,-1.7550405573274474e-13
26,0,-1186.808582677167,6555.92397911198,-1.4210854715202004e-13,19.43877551020408,0.65,-771.4255787401585,4261.350586422787,-9.237055564881302e-14
27,0,-1262.999052369081,6260.73550568024,-1.0302869668521453e-13,20.459183673469386,0.65,-820.9493840399027,4069.478078692156,-6.696865284538945e-14
28,0,-1338.3305700712651,5915.62088925178,2.327027459614328e-13,21.47959183673469,0.65,-869.9148705463224,3845.153578013657,1.5125678487493134e-13
29,0,-1403.740000000009,5615.743055555556,-1.1013412404281553e-13,22.5,0.65,-912.431000000006,3650.232986111111,-7.15871806278301e-14
30,0,-1403.740000000009,5615.743055555556,-1.1013412404281553e-13,22.5,0.65,-912.431000000006,3650.232986111111,-7.15871806278301e-14
31,0,-1496.5361538461657,5027.537259615385,-1.163513729807164e-13,24.375,0.65,-972.7485000000078,3267.8992187500003,-7.562839243746567e-14
32,0,-1627.5614285714423,4072.7107638888883,-1.4210854715202004e-14,26.25,0.65,-1057.9149285714375,2647.2619965277777,-9.237055564881303e-15
33,0,-1717.2600000000148,3303.9275,6.679101716144942e-13,28.125,0.65,-1116.2190000000096,2147.552875,4.341416115494212e-13
34,0,-1845.7900000000166,2057.897222222221,4.334310688136611e-13,30.0,0.65,-1199.7635000000107,1337.6331944444437,2.817301947288797e-13
35,0,-2033.3025000000182,3.5437499999995907,6.821210263296962e-13,72.0,0.65,-1321.646625000012,2.3034374999997342,4.4337866711430256e-13
36,180,216.0,0.0,-1.7053025658242404e-13,0.01,0.9,194.4,0.0,-1.5347723092418165e-13
37,180,216.0,0.0,-1.7053025658242404e-13,0.19333484067767034,0.9,194.4,0.0,-1.5347723092418165e-13
38,180,216.0,0.0,-1.7053025658242404e-13,0.3766696813553407,0.9,194.4,0.0,-1.5347723092418165e-13
39,180,170.1,533.5875000000001,-1.7053025658242404e-13,0.560004522033011,0.9,153.09,480.2287500000001,-1.5347723092418165e-13
40,180,156.50000000000006,690.7430555555552,-1.7053025658242404e-13,0.7433393627106814,0.9,140.85000000000005,621.6687499999997,-1.5347723092418165e-13
41,180,145.3871469833699,807.4280122301716,-1.9895196601282805e-13,0.9266742033883517,0.9,130.8484322850329,726.6852110071544,-1.7905676941154524e-13
42,180,103.51989738349263,1247.034133028883,-1.8474111129762605e-13,1.110009044066022,0.9,93.16790764514337,1122.3307197259946,-1.6626700016786346e-13
43,180,73.52222961030313,1562.009644647373,-1.9895196601282805e-13,1.2933438847436924,0.9,66.17000664927282,1405.8086801826357,-1.7905676941154524e-13
44,180,50.97319307588239,1798.7745282587907,-1.9895196601282805e-13,1.4766787254213627,0.9,45.875873768294156,1618.8970754329116,-1.7905676941154524e-13
45,180,-3.315132330751772,2386.0144450284492,-6.821210263296962e-13,1.660013566099033,0.9,-2.983619097676595,2147.4130005256043,-6.139089236967266e-13
46,180,-3.315132330751772,2386.0144450284492,-6.821210263296962e-13,1.660013566099033,0.9,-2.983619097676595,2147.4130005256043,-6.139089236967266e-13
47,180,-132.48190337058145,3721.104082613326,-5.968558980384842e-13,2.9551594510449455,0.9,-119.2337130335233,3348.993674351994,-5.371703082346358e-13
